Timestamp,course,heard_website,heard_social,heard_event,heard_friend_family,heard_current_student,heard_alumni,heard_hs_teacher,heard_hs_counselor,heard_app_ad,heard_employer,heard_billboard,heard_tv,heard_radio,heard_mail,heard_other,motivation_keep_current,motivation_curiosity,motivation_enrichment,motivation_career_advance,motivation_career_change,motivation_professional_development,motivation_job_displacement,motivation_financial,motivation_relocation,motivation_certifications,motivation_requirement,interest_level,gender
2023/09/05 9:36:31 PM EST,CMP 101 Computer Information Literacy,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Woman
2023/09/05 9:42:31 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,1,Woman
2023/09/05 10:00:08 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,3,Woman
2023/09/05 11:12:17 PM EST,CMP 126 Computer Technology and Applications,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Man
2023/09/05 11:56:29 PM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,3,Woman
2023/09/06 5:33:40 AM EST,CMP 101 Computer Information Literacy,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,3,Woman
2023/09/06 5:46:50 AM EST,CMP 101 Computer Information Literacy,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Woman
2023/09/06 7:50:38 AM EST,CMP 101 Computer Information Literacy,Yes,Yes,No,Yes,Yes,No,Don't recall,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,3,Woman
2023/09/06 8:58:38 AM EST,CMP 126 Computer Technology and Applications,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,3,Woman
2023/09/06 11:02:09 AM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,3,Man
2023/09/06 5:18:30 PM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,1,Woman
2023/09/07 8:59:51 AM EST,CMP 135 Computer Concepts with Applications,Yes,No,Yes,Yes,Don't recall,Don't recall,Don't recall,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,3,Man
2023/09/07 9:00:25 AM EST,CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/07 9:11:37 AM EST,CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,3,Man
2023/09/07 9:14:19 AM EST,CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,3,Man
2023/09/07 9:23:39 AM EST,CMP 135 Computer Concepts with Applications,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,Man
2023/09/07 9:24:38 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/07 9:24:39 AM EST,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/07 9:25:00 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,3,Man
2023/09/07 9:25:16 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,4,prefer not to say
2023/09/07 9:25:21 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Man
2023/09/07 9:25:52 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,Man
2023/09/07 9:26:29 AM EST,CMP 135 Computer Concepts with Applications,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,3,Man
2023/09/07 9:26:32 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,3,Woman
2023/09/07 9:26:48 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Woman
2023/09/07 9:26:49 AM EST,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,3,Man
2023/09/07 9:28:30 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,1,Prefer not to say
2023/09/07 9:29:57 AM EST,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,2,Woman
2023/09/07 9:30:43 AM EST,CMP 135 Computer Concepts with Applications,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,1,Man
2023/09/07 3:57:18 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Man
2023/09/07 5:02:33 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,5,Woman
2023/09/07 5:16:49 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Woman
2023/09/07 5:22:33 PM EST,CMP 126 Computer Technology and Applications,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Don't recall,No,No,No,No,No,No,No,No,No,No,Yes,2,Man
2023/09/08 10:29:09 AM EST,CMP 126 Computer Technology and Applications,Yes,Don't recall,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Woman
2023/09/08 11:08:50 AM EST,CMP 101 Computer Information Literacy,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Woman
2023/09/08 7:56:05 PM EST,CMP 101 Computer Information Literacy,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,2,Woman
2023/09/09 7:26:23 AM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,1,Woman
2023/09/09 9:18:29 AM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,1,Man
2023/09/09 7:08:24 PM EST,CMP 101 Computer Information Literacy,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,3,Non-binary
2023/09/09 9:53:48 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,3,Prefer not to say
2023/09/09 11:19:13 PM EST,CMP 101 Computer Information Literacy,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,2,Woman
2023/09/11 3:07:18 PM EST,CMP 101 Computer Information Literacy,Don't recall,Yes,No,Yes,No,Yes,Yes,Don't recall,No,No,Yes,No,No,No,Don't recall,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,3,Woman
2023/09/11 3:23:01 PM EST,CMP 126 Computer Technology and Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Man
2023/09/11 7:01:16 PM EST,CMP 101 Computer Information Literacy,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,Woman
2023/09/11 9:24:21 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,4,Man
2023/09/12 8:36:12 AM EST,CMP 126 Computer Technology and Applications,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,5,Woman
2023/09/12 8:44:13 AM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,Man
2023/09/12 10:10:20 AM EST,CMP 126 Computer Technology and Applications,Yes,Yes,Don't recall,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,4,Man
2023/09/12 12:13:37 PM EST,CMP 126 Computer Technology and Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Prefer not to say
2023/09/12 12:17:29 PM EST,CMP 126 Computer Technology and Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Prefer not to say
2023/09/12 1:11:16 PM EST,CMP 101 Computer Information Literacy,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,3,Woman
2023/09/12 5:52:37 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,3,Man
2023/09/12 7:18:20 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,3,Woman
2023/09/12 7:26:52 PM EST,CMP 101 Computer Information Literacy,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,4,Man
2023/09/12 8:16:54 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,2,Woman
2023/09/13 12:54:45 PM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/13 1:28:22 PM EST,CMP 101 Computer Information Literacy,Yes,Don't recall,No,Yes,Yes,Don't recall,Yes,Yes,No,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2,Woman
2023/09/13 6:52:08 PM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,Yes,No,Don't recall,Don't recall,No,No,No,No,No,Yes,Don't recall,No,No,No,No,No,Yes,No,No,No,No,Yes,2,Woman
2023/09/13 8:14:59 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,3,Woman
2023/09/14 8:43:10 AM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,Don't recall,Don't recall,Yes,Don't recall,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/14 9:43:11 AM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,Woman
2023/09/14 1:15:17 PM EST,CMP 101 Computer Information Literacy,No,Don't recall,No,Yes,No,No,Yes,Yes,No,Don't recall,No,Yes,Don't recall,Yes,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,5,Woman
2023/09/14 9:06:17 PM EST,CMP 101 Computer Information Literacy,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,No,No,No,Yes,No,No,No,No,No,3,Man
2023/09/14 9:14:12 PM EST,CMP 101 Computer Information Literacy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,3,Man
2023/09/14 9:43:15 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,Man
2023/09/15 9:53:34 AM EST,CMP 126 Computer Technology and Applications,Yes,No,No,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,3,Man
2023/09/15 12:12:42 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,2,Man
2023/09/15 3:54:35 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,5,Non-binary
2023/09/15 8:09:18 PM EST,CMP 126 Computer Technology and Applications,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,3,Woman
2023/09/15 8:26:42 PM EST,CMP 126 Computer Technology and Applications,Yes,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,3,Woman
2023/09/15 9:01:04 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,3,Man
2023/09/15 9:24:48 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,Man
2023/09/17 7:19:11 PM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/18 7:23:54 PM EST,CMP 126 Computer Technology and Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,1,Man
2023/09/19 9:38:59 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,Woman
2023/09/19 9:39:11 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/19 9:39:20 AM EST,CMP 135 Computer Concepts with Applications,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,No,No,No,No,Yes,3,Man
2023/09/19 9:40:38 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/19 9:41:29 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,2,Man
2023/09/19 9:41:44 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Man
2023/09/19 9:42:50 AM EST,CMP 135 Computer Concepts with Applications,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,3,Man
2023/09/19 9:42:52 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,2,Woman
2023/09/19 9:43:12 AM EST,CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Woman
2023/09/19 9:43:14 AM EST,CMP 135 Computer Concepts with Applications,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,1,Man
2023/09/19 9:43:20 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,2,Man
2023/09/19 9:45:26 AM EST,CMP 135 Computer Concepts with Applications,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,No,No,No,No,No,Yes,1,prefer not to say
2023/09/19 9:46:42 AM EST,CMP 135 Computer Concepts with Applications,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,3,Man
2023/09/19 9:51:18 AM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,Yes,No,No,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,3,Woman
2023/09/19 10:08:07 AM EST,CMP 101 Computer Information Literacy,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,1,Woman
2023/09/19 10:31:39 AM EST,CMP 135 Computer Concepts with Applications,Yes,Yes,Yes,Yes,Don't recall,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/19 3:42:17 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,5,Man
2023/09/19 4:12:14 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,2,Man
2023/09/19 5:59:57 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,Prefer not to say
2023/09/19 6:00:20 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/19 6:00:50 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,2,Woman
2023/09/19 6:00:57 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,2,Man
2023/09/19 6:01:01 PM EST,CMP 135 Computer Concepts with Applications,Yes,Don't recall,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,4,Woman
2023/09/19 6:01:09 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,3,Woman
2023/09/19 6:03:41 PM EST,CMP 101 Computer Information Literacy,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,3,Man
2023/09/19 6:03:45 PM EST,CMP 135 Computer Concepts with Applications,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,Yes,No,Yes,No,No,No,No,Yes,2,Man
2023/09/19 6:04:34 PM EST,CMP 135 Computer Concepts with Applications,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Prefer not to say
2023/09/19 6:05:55 PM EST,CMP 101 Computer Information Literacy,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,3,Woman
2023/09/19 6:07:54 PM EST,CMP 135 Computer Concepts with Applications,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,5,Woman
2023/09/19 6:08:11 PM EST,CMP 135 Computer Concepts with Applications,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,3,Man
2023/09/19 10:44:14 PM EST,CMP 135 Computer Concepts with Applications,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,2,Prefer not to say
